emotion,path
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a01Fa.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a01Nc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a01Wa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a02Fc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a02Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a02Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a02Wb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a02Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Ad.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a04Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Fc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Nd.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a05Wb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a07Fa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a07Fb.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a07La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a07Nc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03a07Wc.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Fa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b01Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b02Aa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b02La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b02Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b02Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b02Wb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b03Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b03Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b03Wc.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b09La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b09Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b09Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b09Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Ab.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Ec.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Na.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Nc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Wb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/03b10Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Ab.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a01Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Ab.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Ac.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Fe.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a02Wc.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a04Ff.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a04La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a04Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a04Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a04Wc.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a05Fe.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a05Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a05Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a05Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a05Wa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07Na.wav
